issue_id	path	collections	ext	name	series_name	volume	year	issue_no	confidence
1	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v01 - Superman and the Men of Steel (2012) (digital-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v01 - Superman and the Men of Steel	Superman - Action Comics	1	2012	1	0	0
2	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v02 - Bulletproof (2013) (Digital) (Zone-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v02 - Bulletproof	Superman - Action Comics	2	2013	1	0	0
3	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v03 - At the End of Days (2013) (Digital) (Zone-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v03 - At the End of Days	Superman - Action Comics	3	2013	1	0	0
4	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v04 - Hybrid (2014) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v04 - Hybrid	Superman - Action Comics	4	2014	1	0	0
5	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v05 - What Lies Beneath (2014) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v05 - What Lies Beneath	Superman - Action Comics	5	2014	1	0	0
6	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v06 - Superdoom (2015) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v06 - Superdoom	Superman - Action Comics	6	2015	1	0	0
7	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v07 - Under the Skin (2015) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v07 - Under the Skin	Superman - Action Comics	7	2015	1	0	0
8	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v08 - Truth (2016) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v08 - Truth	Superman - Action Comics	8	2016	1	0	0
9	/Volumes/Backup Plus/Comics/Superman New 52/Superman - Action Comics v09 - Last Rites (2016) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman - Action Comics v09 - Last Rites	Superman - Action Comics	9	2016	1	0	0
10	/Volumes/Backup Plus/Comics/Superman New 52/Superman - The Men of Tomorrow (2015) GetComics.INFO.cbr	['Superman New 52']	cbr	Superman - The Men of Tomorrow	Superman - The Men of Tomorrow	-1	2015	1	0	0
11	/Volumes/Backup Plus/Comics/Superman New 52/Superman v01 - What Price Tomorrow (2012).cbz	['Superman New 52']	cbz	Superman v01 - What Price Tomorrow	Superman	1	2012	1	0	0
12	/Volumes/Backup Plus/Comics/Superman New 52/Superman v03 - Fury At the World%27s End (2014) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman v03 - Fury At the World%27s End	Superman	3	2014	1	0	0
13	/Volumes/Backup Plus/Comics/Superman New 52/Superman v04 - Psi War (2014) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman v04 - Psi War	Superman	4	2014	1	0	0
14	/Volumes/Backup Plus/Comics/Superman New 52/Superman v05 - Under Fire (2015) (digital) (Son of Ultron-Empire).cbr	['Superman New 52']	cbr	Superman v05 - Under Fire	Superman	5	2015	1	0	0
15	/Volumes/Backup Plus/Comics/Batman/Batman v01 - The Court of Owls (2012) GetComics.INFO.cbr	['Batman']	cbr	Batman v01 - The Court of Owls	Batman	1	2012	1	0	0
16	/Volumes/Backup Plus/Comics/Batman/Batman v02 - The City of Owls (2013) GetComics.INFO.cbr	['Batman']	cbr	Batman v02 - The City of Owls	Batman	2	2013	1	0	0
17	/Volumes/Backup Plus/Comics/Batman/Batman v03 - Death of the Family (2013) GetComics.INFO.cbr	['Batman']	cbr	Batman v03 - Death of the Family	Batman	3	2013	1	0	0
18	/Volumes/Backup Plus/Comics/Batman/batman- zero year.cbz	['Batman']	cbz	batman - zero year	batman - zero year	-1	-1	1	0	0
19	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/024 - Batman 031 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 031	Batman	-1	2014	31	0	75
20	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/022 - Batman 029 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 029	Batman	-1	2014	29	0	75
21	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/012 - Batgirl 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batgirl 025	Batgirl	-1	2014	25	0	75
22	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/007 - Detective Comics 025 (2014) (2 covers) (digital-TheGroup).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Detective Comics 025	Detective Comics	-1	2014	25	0	75
23	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/023 - Batman 030 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 030	Batman	-1	2014	30	0	75
